CMDLINE /work1/nova/achriste/conda/mlinstseg/bin/python model_profile.py
MEM 8.261719 1718160024.3620
MEM 19.359375 1718160024.4624
MEM 24.914062 1718160024.5627
MEM 30.562500 1718160024.6630
MEM 36.175781 1718160024.7634
MEM 41.527344 1718160024.8637
MEM 51.878906 1718160024.9640
MEM 97.386719 1718160025.0644
MEM 155.074219 1718160025.1649
MEM 161.441406 1718160025.2652
MEM 167.191406 1718160025.3656
MEM 172.773438 1718160025.4659
MEM 179.101562 1718160025.5663
MEM 183.917969 1718160025.6665
MEM 189.898438 1718160025.7668
MEM 197.898438 1718160025.8671
MEM 203.703125 1718160025.9674
MEM 216.722656 1718160026.0677
MEM 222.285156 1718160026.1680
MEM 228.859375 1718160026.2683
MEM 232.140625 1718160026.3686
MEM 236.285156 1718160026.4689
MEM 240.074219 1718160026.5692
MEM 240.289062 1718160026.6695
MEM 241.582031 1718160026.7698
MEM 244.304688 1718160026.8702
MEM 247.675781 1718160026.9706
MEM 250.566406 1718160027.0709
MEM 252.570312 1718160027.1713
MEM 255.035156 1718160027.2716
MEM 256.707031 1718160027.3719
MEM 258.433594 1718160027.4722
MEM 261.925781 1718160027.5724
MEM 276.089844 1718160027.6727
MEM 277.339844 1718160027.7730
MEM 283.714844 1718160027.8733
MEM 293.742188 1718160027.9736
MEM 303.488281 1718160028.0739
MEM 312.832031 1718160028.1743
MEM 335.707031 1718160028.2746
MEM 338.902344 1718160028.3749
MEM 341.738281 1718160028.4753
MEM 344.359375 1718160028.5755
MEM 345.238281 1718160028.6759
MEM 346.164062 1718160028.7762
MEM 346.847656 1718160028.8765
MEM 347.878906 1718160028.9768
MEM 349.109375 1718160029.0771
MEM 350.042969 1718160029.1775
MEM 351.074219 1718160029.2778
MEM 352.117188 1718160029.3782
MEM 353.250000 1718160029.4792
MEM 354.539062 1718160029.5795
MEM 355.570312 1718160029.6799
MEM 356.691406 1718160029.7802
MEM 357.882812 1718160029.8805
MEM 359.171875 1718160029.9808
MEM 360.265625 1718160030.0811
MEM 361.722656 1718160030.1815
MEM 363.023438 1718160030.2818
MEM 364.308594 1718160030.3822
MEM 365.570312 1718160030.4825
MEM 366.738281 1718160030.5828
MEM 367.996094 1718160030.6831
MEM 369.003906 1718160030.7834
MEM 372.539062 1718160030.8838
MEM 385.230469 1718160030.9841
MEM 445.449219 1718160031.0844
MEM 490.132812 1718160031.1849
MEM 547.078125 1718160031.2852
MEM 548.105469 1718160031.3855
MEM 548.925781 1718160031.4859
MEM 549.933594 1718160031.5862
MEM 550.957031 1718160031.6865
MEM 571.386719 1718160031.7868
MEM 572.816406 1718160031.8871
MEM 574.050781 1718160031.9875
MEM 590.371094 1718160032.0878
MEM 609.378906 1718160032.1881
MEM 610.324219 1718160032.2884
MEM 610.324219 1718160032.3887
MEM 610.597656 1718160032.4890
MEM 614.460938 1718160032.5894
MEM 614.718750 1718160032.6897
MEM 614.957031 1718160032.7900
MEM 615.019531 1718160032.8903
MEM 615.019531 1718160032.9906
MEM 744.906250 1718160033.0911
MEM 783.675781 1718160033.1916
MEM 840.890625 1718160033.2919
MEM 947.656250 1718160033.3923
MEM 947.656250 1718160033.4926
MEM 947.742188 1718160033.5929
MEM 947.742188 1718160033.6933
MEM 950.148438 1718160033.7938
MEM 792.226562 1718160033.8941
MEM 792.425781 1718160033.9944
MEM 792.425781 1718160034.0947
MEM 792.425781 1718160034.1950
MEM 792.425781 1718160034.2954
MEM 792.425781 1718160034.3957
MEM 792.425781 1718160034.4960
MEM 792.976562 1718160034.5965
MEM 795.691406 1718160034.6968
MEM 796.707031 1718160034.7971
MEM 823.039062 1718160034.8975
MEM 840.777344 1718160034.9981
MEM 841.636719 1718160035.0984
MEM 843.003906 1718160035.1988
MEM 847.105469 1718160035.2993
MEM 890.621094 1718160035.4022
MEM 890.203125 1718160035.5096
MEM 926.312500 1718160035.6101
MEM 861.792969 1718160035.7106
MEM 884.957031 1718160035.8111
MEM 911.878906 1718160035.9116
MEM 986.382812 1718160036.0176
MEM 1004.285156 1718160036.1181
MEM 1003.421875 1718160036.2186
MEM 1032.640625 1718160036.3195
MEM 1162.535156 1718160036.4258
MEM 1166.531250 1718160036.5264
MEM 1198.285156 1718160036.6271
MEM 1143.605469 1718160036.7277
MEM 1192.285156 1718160036.8327
MEM 1192.542969 1718160036.9406
MEM 1266.605469 1718160037.0436
MEM 1198.722656 1718160037.1442
MEM 1273.996094 1718160037.2498
MEM 1273.804688 1718160037.3527
MEM 1348.105469 1718160037.4548
MEM 1225.394531 1718160037.5557
MEM 1225.394531 1718160037.6564
MEM 1194.375000 1718160037.7573
MEM 1195.527344 1718160037.8614
MEM 1140.863281 1718160037.9618
MEM 1155.703125 1718160038.0626
MEM 1247.988281 1718160038.1691
MEM 1228.964844 1718160038.2695
MEM 1302.960938 1718160038.3706
MEM 1227.019531 1718160038.4711
MEM 1259.558594 1718160038.5721
MEM 1282.078125 1718160038.6726
MEM 1279.453125 1718160038.7775
MEM 1283.285156 1718160038.8780
MEM 1254.792969 1718160038.9785
MEM 1297.578125 1718160039.0846
MEM 1316.871094 1718160039.1856
MEM 1276.769531 1718160039.2861
MEM 1255.457031 1718160039.3866
MEM 1322.238281 1718160039.4890
MEM 1324.480469 1718160039.5895
MEM 1285.289062 1718160039.6900
FUNC __main__.load_dataset 340.9023 1718160028.4244 342.3516 1718160028.4901 0
FUNC __main__.load_model 342.3516 1718160028.4903 792.2266 1718160033.8958 0
FUNC __main__.detect 792.2266 1718160033.9210 867.7930 1718160035.7697 1
FUNC __main__.detect 867.7930 1718160035.7824 1002.3906 1718160036.1979 1
FUNC __main__.detect 1002.3984 1718160036.2089 1121.7344 1718160036.6467 1
FUNC __main__.detect 1121.7344 1718160036.6575 1190.0430 1718160037.0590 1
FUNC __main__.detect 1190.0430 1718160037.0714 1271.5586 1718160037.5011 1
FUNC __main__.detect 1271.5586 1718160037.5138 1140.8633 1718160037.9530 1
FUNC __main__.detect 1140.8633 1718160037.9648 1226.3984 1718160038.4034 1
FUNC __main__.detect 1226.3984 1718160038.4147 1279.8320 1718160038.8371 1
FUNC __main__.detect 1279.8320 1718160038.8483 1276.7695 1718160039.2709 1
FUNC __main__.detect 1276.7695 1718160039.2833 1285.2891 1718160039.7008 1
FUNC __main__.detect 1285.2891 1718160039.7140 1305.9805 1718160040.1489 1
FUNC __main__.detect 1305.9805 1718160040.1590 1361.6055 1718160040.5890 1
FUNC __main__.detect 1361.6055 1718160040.5997 1429.3828 1718160041.0168 1
FUNC __main__.detect 1429.3828 1718160041.0269 1402.0312 1718160041.4306 1
FUNC __main__.detect 1402.0312 1718160041.4445 1407.2266 1718160041.8576 1
FUNC __main__.detect 1407.2266 1718160041.8684 1391.1680 1718160042.2808 1
FUNC __main__.detect 1391.1680 1718160042.2948 1391.3320 1718160042.7249 1
FUNC __main__.detect 1391.3320 1718160042.7372 1377.1055 1718160043.1573 1
FUNC __main__.detect 1377.1055 1718160043.1686 1377.5508 1718160043.5962 1
FUNC __main__.detect 1377.5508 1718160043.6076 1383.2383 1718160044.0211 1
FUNC __main__.run_detect 792.2266 1718160033.8960 1383.2383 1718160044.0213 0
MEM 1285.410156 1718160039.7907
MEM 1345.394531 1718160039.8968
MEM 1346.097656 1718160040.0013
MEM 1325.082031 1718160040.1023
MEM 1309.078125 1718160040.2034
MEM 1310.082031 1718160040.3038
MEM 1363.605469 1718160040.4044
MEM 1363.867188 1718160040.5095
MEM 1361.976562 1718160040.6099
MEM 1370.691406 1718160040.7106
MEM 1470.589844 1718160040.8116
MEM 1451.046875 1718160040.9226
MEM 1429.382812 1718160041.0230
MEM 1431.316406 1718160041.1302
MEM 1456.761719 1718160041.2366
MEM 1456.625000 1718160041.3386
MEM 1402.031250 1718160041.4390
MEM 1402.113281 1718160041.5402
MEM 1406.691406 1718160041.6410
MEM 1406.468750 1718160041.7415
MEM 1483.789062 1718160041.8422
MEM 1408.339844 1718160041.9466
MEM 1431.371094 1718160042.0556
MEM 1435.421875 1718160042.1566
MEM 1467.730469 1718160042.2571
MEM 1392.812500 1718160042.3576
MEM 1420.960938 1718160042.4581
MEM 1425.625000 1718160042.5620
MEM 1428.300781 1718160042.6636
MEM 1399.707031 1718160042.7641
MEM 1414.664062 1718160042.8646
MEM 1419.058594 1718160042.9656
MEM 1418.785156 1718160043.0661
MEM 1377.105469 1718160043.1666
MEM 1377.960938 1718160043.2720
MEM 1418.136719 1718160043.3726
MEM 1418.367188 1718160043.4746
MEM 1473.148438 1718160043.5763
MEM 1377.960938 1718160043.6768
MEM 1423.062500 1718160043.7776
MEM 1384.628906 1718160043.8796
MEM 1459.804688 1718160043.9820
MEM 1383.296875 1718160044.0825
MEM 1383.296875 1718160044.1828
MEM 1383.296875 1718160044.2831
MEM 1383.296875 1718160044.3834
MEM 0.000000 1718160044.4839
