CMDLINE /wclustre/nova/users/rafaelma2/venv385/bin/python bigo.py
MEM 8.546875 1718505677.2733
MEM 22.851562 1718505677.3737
MEM 29.156250 1718505677.4739
MEM 37.171875 1718505677.5742
MEM 41.222656 1718505677.6745
MEM 46.843750 1718505677.7748
MEM 63.683594 1718505677.8751
MEM 68.957031 1718505677.9754
MEM 74.917969 1718505678.0757
MEM 82.683594 1718505678.1761
MEM 89.214844 1718505678.2764
MEM 96.476562 1718505678.3767
MEM 102.410156 1718505678.4770
MEM 110.703125 1718505678.5773
MEM 121.195312 1718505678.6777
MEM 132.734375 1718505678.7780
MEM 140.128906 1718505678.8784
MEM 148.316406 1718505678.9787
MEM 153.140625 1718505679.0791
MEM 168.519531 1718505679.1796
MEM 171.992188 1718505679.2800
MEM 175.394531 1718505679.3803
MEM 180.476562 1718505679.4806
MEM 188.066406 1718505679.5808
MEM 193.242188 1718505679.6810
MEM 199.113281 1718505679.7813
MEM 203.484375 1718505679.8817
MEM 206.281250 1718505679.9821
MEM 208.312500 1718505680.0823
MEM 210.062500 1718505680.1827
MEM 211.335938 1718505680.2831
MEM 212.460938 1718505680.3834
MEM 216.000000 1718505680.4837
MEM 218.417969 1718505680.5841
MEM 221.570312 1718505680.6844
MEM 225.765625 1718505680.7847
MEM 230.175781 1718505680.8850
MEM 234.140625 1718505680.9853
MEM 239.019531 1718505681.0857
MEM 239.609375 1718505681.1861
MEM 242.113281 1718505681.2865
MEM 247.390625 1718505681.3868
MEM 253.167969 1718505681.4871
MEM 256.335938 1718505681.5875
MEM 260.085938 1718505681.6878
MEM 261.742188 1718505681.7881
MEM 263.515625 1718505681.8884
MEM 267.261719 1718505681.9887
MEM 268.281250 1718505682.0890
MEM 268.484375 1718505682.1893
MEM 271.671875 1718505682.2896
MEM 272.238281 1718505682.3903
MEM 273.359375 1718505682.4907
MEM 276.527344 1718505682.5910
MEM 279.789062 1718505682.6913
MEM 283.285156 1718505682.7915
MEM 290.628906 1718505682.8918
MEM 293.777344 1718505682.9921
MEM 297.449219 1718505683.0925
MEM 298.039062 1718505683.1928
MEM 298.292969 1718505683.2931
MEM 298.992188 1718505683.3934
MEM 300.097656 1718505683.4938
MEM 303.117188 1718505683.5941
MEM 303.621094 1718505683.6943
MEM 308.820312 1718505683.7947
MEM 311.496094 1718505683.8950
MEM 313.675781 1718505683.9953
MEM 318.601562 1718505684.0956
MEM 320.347656 1718505684.1959
MEM 320.597656 1718505684.2962
MEM 321.097656 1718505684.3964
MEM 323.824219 1718505684.4967
MEM 324.167969 1718505684.5970
MEM 324.542969 1718505684.6972
MEM 324.566406 1718505684.7975
MEM 325.296875 1718505684.8978
MEM 328.750000 1718505684.9981
MEM 329.398438 1718505685.0983
MEM 330.734375 1718505685.1985
MEM 331.253906 1718505685.2988
MEM 332.078125 1718505685.3991
MEM 333.156250 1718505685.4994
MEM 334.777344 1718505685.5997
MEM 337.531250 1718505685.7001
MEM 340.433594 1718505685.8004
MEM 341.867188 1718505685.9007
MEM 346.558594 1718505686.0010
MEM 350.820312 1718505686.1013
MEM 356.683594 1718505686.2016
MEM 356.683594 1718505686.3020
MEM 358.277344 1718505686.4023
MEM 360.839844 1718505686.5026
MEM 367.601562 1718505686.6030
MEM 369.539062 1718505686.7033
MEM 372.703125 1718505686.8036
MEM 380.187500 1718505686.9039
MEM 382.894531 1718505687.0043
MEM 396.914062 1718505687.1045
MEM 403.707031 1718505687.2049
MEM 414.414062 1718505687.3052
MEM 487.140625 1718505687.4056
FUNC __main__.load_dataset 397.3242 1718505687.1625 399.9609 1718505687.1956 0
FUNC __main__.load_model 399.9609 1718505687.1957 715.7148 1718505688.9765 0
FUNC __main__.predict 715.7188 1718505688.9777 715.7188 1718505688.9786 0
MEM 582.558594 1718505687.5060
MEM 596.507812 1718505687.6066
MEM 596.507812 1718505687.7070
MEM 596.507812 1718505687.8074
MEM 596.507812 1718505687.9077
MEM 596.507812 1718505688.0082
MEM 596.507812 1718505688.1087
MEM 596.507812 1718505688.2092
MEM 596.507812 1718505688.3095
MEM 596.777344 1718505688.4098
MEM 597.156250 1718505688.5101
MEM 659.152344 1718505688.6104
MEM 773.089844 1718505688.7108
MEM 800.707031 1718505688.8112
MEM 842.042969 1718505688.9115
MEM 715.734375 1718505689.0117
MEM 715.734375 1718505689.1121
MEM 715.738281 1718505689.2125
MEM 715.523438 1718505689.3129
MEM 715.078125 1718505689.4133
MEM 716.417969 1718505689.5137
MEM 718.867188 1718505689.6141
