CMDLINE /wclustre/nova/users/rafaelma2/venv385/bin/python bigo.py
MEM 4.562500 1718505193.8102
MEM 20.972656 1718505193.9105
MEM 28.175781 1718505194.0108
MEM 36.035156 1718505194.1112
MEM 41.093750 1718505194.2115
MEM 95.593750 1718505194.3118
MEM 118.375000 1718505194.4122
MEM 135.937500 1718505194.5125
MEM 173.648438 1718505194.6129
MEM 189.691406 1718505194.7131
MEM 200.582031 1718505194.8136
MEM 208.277344 1718505194.9139
MEM 211.714844 1718505195.0144
MEM 214.273438 1718505195.1146
MEM 220.804688 1718505195.2149
MEM 229.625000 1718505195.3152
MEM 237.648438 1718505195.4156
MEM 239.703125 1718505195.5159
MEM 246.898438 1718505195.6162
MEM 254.363281 1718505195.7165
MEM 260.699219 1718505195.8169
MEM 263.609375 1718505195.9173
MEM 267.316406 1718505196.0177
MEM 273.812500 1718505196.1180
MEM 274.488281 1718505196.2183
MEM 286.894531 1718505196.3185
MEM 298.789062 1718505196.4189
MEM 303.984375 1718505196.5192
MEM 305.484375 1718505196.6196
MEM 307.218750 1718505196.7201
MEM 313.652344 1718505196.8206
MEM 315.460938 1718505196.9210
MEM 320.937500 1718505197.0214
MEM 323.207031 1718505197.1219
MEM 324.089844 1718505197.2222
MEM 327.710938 1718505197.3227
MEM 328.195312 1718505197.4230
MEM 328.699219 1718505197.5233
MEM 328.699219 1718505197.6238
MEM 329.199219 1718505197.7241
MEM 331.613281 1718505197.8245
MEM 336.570312 1718505197.9248
MEM 336.824219 1718505198.0252
MEM 338.835938 1718505198.1255
MEM 350.867188 1718505198.2260
MEM 360.828125 1718505198.3264
MEM 361.796875 1718505198.4268
MEM 371.089844 1718505198.5272
MEM 375.546875 1718505198.6276
MEM 388.410156 1718505198.7280
MEM 399.011719 1718505198.8283
MEM 404.949219 1718505198.9294
MEM 424.578125 1718505199.0299
MEM 515.222656 1718505199.1302
MEM 597.359375 1718505199.2307
MEM 597.527344 1718505199.3310
MEM 597.527344 1718505199.4315
MEM 597.527344 1718505199.5318
MEM 597.527344 1718505199.6322
MEM 597.527344 1718505199.7326
MEM 597.527344 1718505199.8331
MEM 597.527344 1718505199.9336
MEM 597.527344 1718505200.0339
MEM 597.527344 1718505200.1344
MEM 597.527344 1718505200.2348
MEM 597.527344 1718505200.3353
MEM 597.527344 1718505200.4358
MEM 597.527344 1718505200.5361
MEM 597.527344 1718505200.6366
MEM 597.527344 1718505200.7371
MEM 597.527344 1718505200.8376
MEM 597.527344 1718505200.9382
MEM 597.527344 1718505201.0385
MEM 597.527344 1718505201.1388
MEM 597.527344 1718505201.2393
MEM 597.527344 1718505201.3398
MEM 597.527344 1718505201.4401
MEM 597.527344 1718505201.5405
MEM 597.527344 1718505201.6408
MEM 597.527344 1718505201.7413
MEM 597.527344 1718505201.8417
MEM 597.527344 1718505201.9422
MEM 597.527344 1718505202.0427
MEM 597.527344 1718505202.1430
MEM 597.527344 1718505202.2434
MEM 597.527344 1718505202.3438
MEM 597.527344 1718505202.4442
MEM 597.527344 1718505202.5446
MEM 597.527344 1718505202.6451
MEM 597.527344 1718505202.7456
MEM 597.527344 1718505202.8459
MEM 597.527344 1718505202.9464
MEM 597.527344 1718505203.0468
MEM 597.527344 1718505203.1471
MEM 597.527344 1718505203.2476
MEM 597.527344 1718505203.3480
MEM 597.527344 1718505203.4484
MEM 597.527344 1718505203.5489
MEM 597.527344 1718505203.6492
MEM 597.527344 1718505203.7496
MEM 597.527344 1718505203.8500
MEM 597.527344 1718505203.9504
MEM 597.527344 1718505204.0508
MEM 597.527344 1718505204.1512
MEM 597.527344 1718505204.2517
MEM 597.527344 1718505204.3522
MEM 597.527344 1718505204.4526
MEM 597.527344 1718505204.5531
MEM 597.527344 1718505204.6536
MEM 597.527344 1718505204.7541
MEM 597.527344 1718505204.8544
MEM 597.527344 1718505204.9548
MEM 597.527344 1718505205.0552
MEM 597.527344 1718505205.1557
MEM 597.527344 1718505205.2562
MEM 597.527344 1718505205.3565
MEM 597.527344 1718505205.4569
MEM 597.527344 1718505205.5573
MEM 597.527344 1718505205.6577
MEM 597.527344 1718505205.7581
MEM 597.527344 1718505205.8586
MEM 597.527344 1718505205.9589
MEM 597.527344 1718505206.0592
MEM 597.527344 1718505206.1596
MEM 597.527344 1718505206.2599
MEM 597.527344 1718505206.3603
MEM 597.527344 1718505206.4606
MEM 597.527344 1718505206.5611
MEM 597.527344 1718505206.6616
MEM 597.527344 1718505206.7620
MEM 597.527344 1718505206.8624
MEM 597.527344 1718505206.9627
MEM 597.527344 1718505207.0630
MEM 597.527344 1718505207.1634
MEM 597.527344 1718505207.2638
MEM 597.527344 1718505207.3642
MEM 597.527344 1718505207.4647
MEM 597.527344 1718505207.5651
MEM 597.527344 1718505207.6656
MEM 597.527344 1718505207.7660
MEM 597.527344 1718505207.8663
MEM 597.527344 1718505207.9667
MEM 597.527344 1718505208.0671
MEM 597.527344 1718505208.1675
MEM 597.527344 1718505208.2678
MEM 597.527344 1718505208.3683
MEM 597.527344 1718505208.4686
MEM 597.527344 1718505208.5690
MEM 597.527344 1718505208.6695
MEM 597.527344 1718505208.7700
MEM 597.527344 1718505208.8705
MEM 597.527344 1718505208.9710
MEM 597.527344 1718505209.0714
FUNC __main__.load_dataset 399.0195 1718505198.8540 400.9609 1718505198.8883 0
FUNC __main__.load_model 400.9609 1718505198.8884 597.5352 1718505209.2456 0
MEM 597.527344 1718505209.1720
MEM 597.535156 1718505209.2725
MEM 597.535156 1718505209.3728
MEM 597.566406 1718505209.4732
MEM 530.035156 1718505209.5735
MEM 529.824219 1718505209.6739
MEM 529.882812 1718505209.7744
MEM 531.562500 1718505209.8749
