CMDLINE /wclustre/nova/users/rafaelma2/venv385/bin/python bigo.py
MEM 9.394531 1718504848.8151
MEM 23.109375 1718504848.9155
MEM 30.742188 1718504849.0158
MEM 37.929688 1718504849.1161
MEM 43.132812 1718504849.2164
MEM 100.117188 1718504849.3168
MEM 123.929688 1718504849.4171
MEM 140.714844 1718504849.5175
MEM 176.164062 1718504849.6180
MEM 193.164062 1718504849.7182
MEM 203.164062 1718504849.8185
MEM 210.035156 1718504849.9191
MEM 213.632812 1718504850.0194
MEM 215.742188 1718504850.1197
MEM 221.351562 1718504850.2201
MEM 229.714844 1718504850.3204
MEM 238.730469 1718504850.4208
MEM 241.046875 1718504850.5211
MEM 247.761719 1718504850.6214
MEM 255.871094 1718504850.7219
MEM 262.296875 1718504850.8223
MEM 265.234375 1718504850.9226
MEM 269.187500 1718504851.0231
MEM 275.398438 1718504851.1234
MEM 276.074219 1718504851.2239
MEM 285.507812 1718504851.3240
MEM 297.914062 1718504851.4243
MEM 303.667969 1718504851.5246
MEM 304.917969 1718504851.6249
MEM 306.425781 1718504851.7254
MEM 311.792969 1718504851.8258
MEM 315.328125 1718504851.9261
MEM 319.875000 1718504852.0265
MEM 323.144531 1718504852.1269
MEM 324.343750 1718504852.2274
MEM 327.988281 1718504852.3279
MEM 328.503906 1718504852.4283
MEM 328.988281 1718504852.5286
MEM 328.988281 1718504852.6289
MEM 329.250000 1718504852.7292
MEM 331.121094 1718504852.8295
MEM 336.921875 1718504852.9299
MEM 337.421875 1718504853.0301
MEM 339.191406 1718504853.1304
MEM 345.871094 1718504853.2307
MEM 361.957031 1718504853.3310
MEM 363.976562 1718504853.4314
MEM 373.066406 1718504853.5318
MEM 376.394531 1718504853.6321
MEM 388.519531 1718504853.7325
MEM 400.996094 1718504853.8329
FUNC __main__.predict 401.0039 1718504853.8520 401.0039 1718504853.8529 0
MEM 401.031250 1718504853.9339
MEM 401.031250 1718504854.0344
MEM 401.042969 1718504854.1346
MEM 400.574219 1718504854.2350
MEM 401.917969 1718504854.3353
